Predator	Prey
Acartia tonsa 	Phytoplankton
Acartia tonsa 	Fresh detritus
Acartia tonsa 	Zooplankton
Actinaria	Fresh detritus
Actinaria	Phytoplankton
Actinaria	Zooplankton
Amphipoda	Macrocystis pyrifera
Amphipoda	Fresh detritus
Amphipoda	Phytoplankton
Anasterias antarctica	Amphipoda
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Crepipatella dilatata
Anasterias antarctica	Fissurella oriens
Anasterias antarctica	Gaimardia trapesina
Anasterias antarctica	Halicarcinus planatus
Anasterias antarctica	Margarella violacea
Anasterias antarctica	Nacella mytilina
Anasterias antarctica	Pagurus sp.
Anasterias antarctica	Pareuthria fuscata
Anasterias antarctica	Plaxiphora sp.
Anasterias antarctica	Pseudechinus magellanicus
Anasterias antarctica	Serpulidae
Anasterias antarctica	Trophon geversianus
Anasterias antarctica	Balanus sp.
Anasterias antarctica	Nacella magellanica
Anasterias antarctica	Ascidiacea
Anasterias antarctica	Eurhomalea exalbida
Anasterias antarctica	Eurypodius latreillii
Anasterias antarctica	Xymenopsis muriciformis
Anasterias antarctica	Hiatella arctica
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Halicarcinus planatus
Anasterias antarctica	Isopoda
Anasterias antarctica	Munida gregaria
Anasterias antarctica	Mytilus edulis
Anasterias antarctica	Nacella deaurata
Anasterias antarctica	Notochthamalus scabrosus
Anasterias antarctica	Perumytilus purpuratus
Anasterias antarctica	Polyplacophora
Anasterias antarctica	Siphonaria lessoni
Arbacia dufresnii	Amphipoda
Arbacia dufresnii	Aulacomya atra
Arbacia dufresnii	Balanus sp.
Arbacia dufresnii	Gaimardia trapesina
Arbacia dufresnii	Macrocystis pyrifera
Arbacia dufresnii	Margarella violacea
Arbacia dufresnii	Membranipora isabelleana
Arbacia dufresnii	Mytilus edulis
Arbacia dufresnii	Phytoplankton
Arbacia dufresnii	Serpulidae
Arbacia dufresnii	Zooplankton
Ascidiacea	Zooplankton
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Asterina fimbriata	Amphipoda
Asterina fimbriata	Aulacomya atra
Asterina fimbriata	Crepipatella dilatata
Asterina fimbriata	Fissurella oriens
Asterina fimbriata	Gaimardia trapesina
Asterina fimbriata	Halicarcinus planatus
Asterina fimbriata	Margarella violacea
Asterina fimbriata	Nacella mytilina
Asterina fimbriata	Pareuthria fuscata
Asterina fimbriata	Plaxiphora sp.
Asterina fimbriata	Pseudechinus magellanicus
Asterina fimbriata	Serpulidae
Asterina fimbriata	Trophon geversianus
Asterina fimbriata	Pagurus sp.
Aulacomya atra	Fresh detritus
Aulacomya atra	Phytoplankton
Aulacomya atra	Zooplankton
Aurelia aurita	Calanus australis
Aurelia aurita	Oncaea curvata
Aurelia aurita	Paracalanus parvus
Aurelia aurita	Phytoplankton
Aurelia aurita	Tisbe sp.
Aurelia aurita	Copepoda
Aurelia aurita	Zooplankton
Austrolycus depressiceps	Harpagifer bispinis
Austrolycus depressiceps	Patagonotothen cornucola
Austrolycus depressiceps	Anasterias antarctica
Austrolycus depressiceps	Ulva sp.
Austrolycus depressiceps	Halicarcinus planatus
Austrolycus depressiceps	Isopoda
Austrolycus depressiceps	Munida gregaria
Austrolycus depressiceps	Nacella deaurata
Austrolycus depressiceps	Nemertea
Austrolycus depressiceps	Polyplacophora
Austrolycus depressiceps	Siphonaria lessoni
Austrolycus depressiceps	Trophon geversianus
Austrolycus depressiceps	Ulva rigida
Austrolycus depressiceps	Xymenopsis muriciformis
Austroregia huxleyana	Macrocystis pyrifera
Austroregia huxleyana	Fresh detritus
Balanus sp.	Fresh detritus
Balanus sp.	Phytoplankton
Bathybiaster loripes	Fresh detritus
Bathybiaster loripes	Aged detritus
Bathyraja albomaculata	Amphipoda
Bathyraja albomaculata	Dissostichus eleginoides
Bathyraja albomaculata	Isopoda
Bathyraja albomaculata	Patagonotothen longipes ramsayi
Bathyraja albomaculata	Polychaeta
Bathyraja albomaculata	Euphausiacea
Bathyraja albomaculata	Munida gregaria
Bathyraja albomaculata	Nemertea
Bathyraja albomaculata	Cephalopoda
Bathyraja albomaculata	Onuphidae
Bathyraja albomaculata	Peltarion spinosulum
Bathyraja brachyurops	Genypterus blacodes
Bathyraja brachyurops	Maldanidae
Bathyraja brachyurops	Merluccius hubbsi
Bathyraja brachyurops	Bathyraja brachyurops
Bathyraja brachyurops	Amphipoda
Bathyraja brachyurops	Bathyraja brachyurops
Bathyraja brachyurops	Copepoda
Bathyraja brachyurops	Cottoperca gobio
Bathyraja brachyurops	Euphausiacea
Bathyraja brachyurops	Isopoda
Bathyraja brachyurops	Munida gregaria
Bathyraja brachyurops	Patagonotothen longipes ramsayi
Bathyraja brachyurops	Peltarion spinosulum
Bathyraja brachyurops	Polychaeta
Bathyraja brachyurops	Lithodes santolla
Bathyraja brachyurops	Cephalopoda
Bathyraja brachyurops	Myxine glutinosa
Bathyraja brachyurops	Dissostichus eleginoides
Bathyraja brachyurops	Pagurus sp.
Bathyraja brachyurops	Cephalopoda
Bathyraja griseocauda	Amphipoda
Bathyraja griseocauda	Copepoda
Bathyraja griseocauda	Euphausiacea
Bathyraja griseocauda	Isopoda
Bathyraja griseocauda	Munida gregaria
Bathyraja griseocauda	Cephalopoda
Bathyraja griseocauda	Myxine glutinosa
Bathyraja griseocauda	Cottoperca gobio
Bathyraja griseocauda	Dissostichus eleginoides
Bathyraja griseocauda	Polychaeta
Bathyraja griseocauda	Patagonotothen longipes ramsayi
Bathyraja griseocauda	Bathyraja griseocauda
Bathyraja griseocauda	Pagurus sp.
Bathyraja griseocauda	Cephalopoda
Bathyraja magellanica	Patagonotothen brevícauda brevicauda
Bathyraja magellanica	Patagonotothen cornucola
Bathyraja magellanica	Patagonotothen longipes ramsayi
Bathyraja magellanica	Patagonotothen sima
Bathyraja magellanica	Patagonotothen tessellata
Bathyraja magellanica	Cottoperca gobio
Bathyraja magellanica	Merluccius hubbsi
Bathyraja magellanica	Campylonotus vagans
Bathyraja magellanica	Munida gregaria
Bathyraja magellanica	Peltarion spinosulum
Bathyraja magellanica	Eurypodius latreillii
Bathyraja magellanica	Amphipoda
Bathyraja magellanica	Isopoda
Bathyraja magellanica	Polychaeta
Bathyraja magellanica	Cephalopoda
Bathyraja magellanica	Pagurus sp.
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Calanus australis	Phytoplankton
Calanus australis	Zooplankton
Calanus australis	Diatomea
Calanus australis	Phytoplankton
Calanus australis	Fresh detritus
Calanus australis	Phytoplankton
Calanus australis	Zooplankton
Campylonotus vagans	Fresh detritus
Centropages brachiatus 	Phytoplankton
Centropages brachiatus 	Zooplankton
Champsocephalus esox 	Cephalopoda
Champsocephalus esox 	Munida gregaria
Champsocephalus esox 	Patagonotothen sima
Champsocephalus esox 	Patagonotothen tessellata
Chthamalus sp.	Fresh detritus
Clausocalanus brevipes 	Phytoplankton
Copepoda	Phytoplankton
Copepoda	Zooplankton
Cosmasterias lurida	Amphipoda
Cosmasterias lurida	Aulacomya atra
Cosmasterias lurida	Crepipatella dilatata
Cosmasterias lurida	Fissurella oriens
Cosmasterias lurida	Gaimardia trapesina
