Species	LifeSpan
Acartia tonsa 	1
Actinaria	1
Adenocystis utricularis	1
Aged detritus	1
Amphipoda	1
Anasterias antarctica	40
Arbacia dufresnii	100
Ascidiacea	2
Asterina fimbriata	7
Aulacomya atra	5
Aurelia aurita	2
Austrolycus depressiceps	14
Austroregia huxleyana	1
Balanus sp.	3
Bathybiaster loripes	10
Bathyraja albomaculata	20
Bathyraja brachyurops	20
Bathyraja griseocauda	20
Bathyraja magellanica	20
Bryozoa	1
Calanus australis	2
Callophyllis pinnata	1
Campylonotus vagans	10
Centropages brachiatus 	2
Cephalopoda	1
Ceramium diaphanum	1
Champsocephalus esox 	15
Chthamalus sp.	5
Clausocalanus brevipes 	2
Copepoda	2
Cosmasterias lurida	100
Cottoperca gobio	14
Crepipatella dilatata	1
Ctenophora	3
Diatomea	1
Dissostichus eleginoides	50
Drepanopus forcipatus	2
Eleginops maclovinus	11
Euphausiacea	6
Eurhomalea exalbida	70
Eurypodius latreillii	3
Exosphaeroma gigas	8
Fissurella oriens	10
Fissurella picta	10
Fresh detritus	1
Fusitriton magellanicus	5
Gaimardia trapesina	3
Galaxias maculatus	3
Genypterus blacodes	30
Glabraster antarctica	10
Gondogeneia antarctica	3
Halicarcinus planatus	3
Harpagifer bispinis	9
Hiatella arctica	126
Isopoda	2
Jassa alonsoae	1
Laevilitorina caliginosa	5
Lithodes santolla	12
Loxechinus albus	14
Macroalgae	1
Macrocystis pyrifera	1
Maldanidae	2
Margarella violacea	10
Membranipora isabelleana	1
Merluccius hubbsi	18
Munida gregaria	9
Mytilus edulis	6
Myxine glutinosa	30
Nacella deaurata	4
Nacella magellanica	4
Nacella mytilina	4
Necromass	1
Nematoda	3
Nemertea	3
Nereididae 	3
Nothogenia fastigiata	1
Notobalanus flosculus	3
Notochthamalus scabrosus	3
Obelia sp.	1
Oithona similis 	1
Oncaea curvata	2
Onuphidae	3
Ophiophragmus chilensis	100
Ophiuroidea	100
Orbiniidae	3
Pagurus sp.	10
Paracalanus parvus	2
Paralomis granulosa	12
Paranotothenia magellanica	14
Pareuthria fuscata	10
Patagonotothen brevícauda brevicauda	14
Patagonotothen cornucola	14
Patagonotothen longipes ramsayi	14
Patagonotothen sima	14
Patagonotothen tessellata	14
Peltarion spinosulum	3
Perumytilus purpuratus	2
Phytoplankton	1
Plaxiphora sp.	6
Polychaeta	5
Polynoidae	3
Polyplacophora	6
Porifera	100
Priapulida	1
Pseudechinus magellanicus	100
Salilota australis	16
Salpidae	1
Schroederichthys bivius	11
Scytothamnus fasciculatus	1
Serpulidae	1
Siphonaria lessoni	12
Spionidae	3
Squalus acanthias	45
Tisbe sp.	1
Trophon geversianus	40
Ulva rigida	1
Ulva sp.	1
Xymenopsis muriciformis	8
Zooplankton	1
Zygochlamys patagonica	18
