Species 	LifeSpan
Adenocystis utricularis	1
Aequiyoldia eightsii	49
Aglaophamus trissophyllus	35
Aged detritus	1
Ascidiacea	10
Ascoseira mirabilis	1
Barrukia cristata	2
Benthic Copepoda	1
Benthic Diatomea	1
Bovallia gigantea	5
Calanoides acutus	1
Callophyllis atrosanguinea 	1
Camptoplites sp.	1
Cellarinella sp.	23
Chaenocephalus aceratus 	17
Chalinidae	100
Charcotia obesa	8
Cheirimedon femoratus	1
Cirratulidae	3
Copepoda	2
Cumacea	1
Curdiea racovitzae	1
Dacrydium sp.	40
Dendrilla antarctica	100
Desmarestia anceps	1
Desmarestia antarctica	1
Desmarestia menziesii	1
Diplasterias brucei	50
Doris kerguelensis	2
Eatoniella sp.	10
Epiphytic Diatomea	1
Euphausia superba	9
Eurymera monticulosa	1
Fresh detritus	1
Gammaridea	1
Gastropoda	10
Geminocarpus geminatus	1
Georgiella confluens 	1
Gigartina skottsbergii	1
Gitanopsis squamosa	1
Glyptonotus antarcticus	6
Gobionotothen gibberifrons	22
Gondogeneia antarctica	3
Harpagifer antarcticus	9
Hemiarthrum setulosum	6
Hippomedon kergueleni	1
Hydrozoa	1
Hyperiidea	3
Iridaea cordata	1
Laevilacunaria antarctica	4
Lambia antarctica 	1
Laternula elliptica	36
Lepidonotothen nudifrons	10
Malacobelemnon daytoni	100
Maldanidae	2
Margarella antarctica	10
Metridia gerlachei	1
Monostroma hariotii	1
Mycale acerata	100
Myriogramme manginii	1
Mysella sp.	4
Mysida	1
Nacella concinna	100
Necromass	1
Nematoda	3
Nemertea	3
Neobuccinum eatoni	10
Nereididae 	3
Neuroglossum delesseriae	1
Notothenia coriiceps	16
Notothenia rossii	22
Octopoda	1
Odontaster meridionalis	100
Odontaster validus	100
Oithona similis	1
Oligochaeta	5
Ophaeliidae	3
Ophionotus victoriae	22
Oradarea bidentata	1
Orbiniidae	3
Ostracoda	1
Palmaria decipiens	1
Pantoneura plocamioides 	1
Parachaenichthys charcoti	9
Paradexamine sp.	1
Paraserolis polita	6
Parborlasia corrugatus	1
Pariphimedia integricauda	1
Perknaster aurorae	50
Perknaster fuscus antarticus	50
Phaeurus antarcticus 	1
Phytoplankton	1
Picconiella plumosa 	1
Plakarthrium punctatissimum	6
Plocamium cartilagineum	1
Polychaeta	5
Polyplacophora	6
Porifera	200
Porphyra plocamiestris	1
Priapulida	1
Prostebbingia gracilis	1
Prostebbingia sp.	1
Pseudorchomene plebs	1
Pyropia plocamiestris 	1
Rosella antartica	200
Rossella sp.	200
Salpidae	1
Serolis sp.	6
Spionidae	3
Cephalopoda	1
Sterechinus neumayeri	50
Stylocordyla borealis	170
Tanaidacea	1
Seraphsidae	3
Trematocarpus antarcticus	1
Trematomus bernacchii	21
Trematomus newnesi	21
Ulothrix sp.	1
Urospora penicilliformis	1
Urticinopsis antarctica	1
Zooplankton	1
