Sp	Mod	Habitat	FG
115	1	benthopelagic	fish
29	6	benthic	benthos
90	1	benthic	zooplankton
108	1	benthic	benthos
17	2	benthic	zooplankton
22	2	benthic	zooplankton
25	2	benthic	fish
31	2	benthic	basal taxa
53	2	benthic	benthos
72	2	benthic	benthos
96	2	benthic	benthos
120	2	benthic	benthos
3	3	benthopelagic	detritus
49	3	benthic	benthos
71	3	benthic	benthos
102	3	benthopelagic	zooplankton
34	4	benthic	benthos
121	4	benthic	benthos
1	5	benthic	detritus
6	5	benthic	benthos
10	5	benthic	benthos
80	5	benthic	benthos
99	5	benthic	benthos
21	6	benthic	zooplankton
45	6	pelagic	zooplankton
47	6	benthic	zooplankton
56	6	benthic	benthos
57	6	benthic	benthos
110	6	benthopelagic	fish
111	6	benthopelagic	fish
5	3	pelagic	basal taxa
19	1	benthic	zooplankton
20	1	benthic	basal taxa
40	1	benthic	benthos
52	1	benthic	benthos
58	1	benthic	basal taxa
59	1	benthic	basal taxa
60	1	benthic	basal taxa
61	1	benthic	basal taxa
62	1	benthic	basal taxa
63	1	benthic	basal taxa
64	1	benthic	basal taxa
65	1	benthic	basal taxa
66	1	benthic	basal taxa
67	1	benthic	basal taxa
68	1	benthic	basal taxa
69	1	benthic	basal taxa
70	1	benthic	basal taxa
74	1	benthic	basal taxa
75	1	benthic	basal taxa
78	1	benthic	zooplankton
83	1	benthic	basal taxa
88	1	benthic	basal taxa
89	1	benthic	basal taxa
91	1	benthic	basal taxa
92	1	benthic	basal taxa
94	1	benthic	basal taxa
97	1	benthic	basal taxa
98	1	benthic	basal taxa
106	1	benthic	benthos
44	2	benthic	basal taxa
79	2	benthic	basal taxa
86	2	benthic	benthos
7	3	benthopelagic	zooplankton
33	3	benthic	benthos
35	3	benthic	benthos
36	3	benthic	benthos
37	3	benthic	benthos
38	3	benthic	benthos
39	3	benthic	benthos
41	3	benthic	benthos
42	3	benthic	benthos
43	3	benthic	benthos
73	3	benthic	benthos
84	3	benthic	benthos
101	3	benthopelagic	benthos
103	3	benthic	benthos
104	3	pelagic	zooplankton
107	3	benthic	benthos
113	3	benthic	benthos
114	3	pelagic	zooplankton
117	3	pelagic	zooplankton
118	3	benthic	benthos
119	3	benthic	benthos
105	4	benthic	benthos
109	4	benthic	benthos
2	5	benthic	zooplankton
4	5	benthic	benthos
8	5	benthic	benthos
9	5	benthic	benthos
11	5	benthic	benthos
12	5	benthic	benthos
13	5	benthic	benthos
14	5	benthic	benthos
81	5	benthic	benthos
82	5	benthic	benthos
100	5	benthic	benthos
15	6	benthic	zooplankton
16	6	benthopelagic	zooplankton
18	6	benthic	zooplankton
23	6	benthic	fish
24	6	pelagic	zooplankton
26	6	benthic	fish
27	6	benthopelagic	zooplankton
28	6	benthopelagic	benthos
30	6	benthic	fish
32	6	benthopelagic	detritus
46	6	benthic	benthos
48	6	benthic	benthos
50	6	benthic	zooplankton
51	6	pelagic	zooplankton
54	6	benthic	benthos
55	6	benthic	benthos
76	6	benthic	zooplankton
77	6	benthic	zooplankton
85	6	benthic	benthos
87	6	benthic	zooplankton
93	6	benthic	zooplankton
95	6	benthopelagic	benthos
112	6	benthic	fish
116	6	benthopelagic	fish
