Name	Taxon	Trophospecie	Habitat	FunctionalGroup
Beagle	copépodos calanoides	Acartia tonsa 	pelagic	zooplankton
Beagle	cnidarios	Actinaria	benthic	benthos
Beagle	algas pardas	Adenocystis utricularis	benthic	basal taxa
Beagle	detrito	Aged detritus	benthic	detritus
Beagle	anfípodos	Amphipoda	benthopelagic	zooplankton
Beagle	estrellas	Anasterias antarctica	benthic	benthos
Beagle	erizos	Arbacia dufresnii	benthic	benthos
Beagle	ascidias	Ascidiacea	benthic	benthos
Beagle	estrellas	Asterina fimbriata	benthic	benthos
Beagle	bivalvos	Aulacomya atra	benthic	benthos
Beagle	cnidarios	Aurelia aurita	benthopelagic	zooplankton
Beagle	peces	Austrolycus depressiceps	benthic	fish
Beagle	anfípodos	Austroregia huxleyana	benthic	zooplankton
Beagle	cirripedios	Balanus sp.	benthic	benthos
Beagle	estrellas	Bathybiaster loripes	benthic	benthos
Beagle	peces	Bathyraja albomaculata	benthic	fish
Beagle	peces	Bathyraja brachyurops	benthic	fish
Beagle	briozoos	Bryozoa	benthic	benthos
Beagle	anfípodos	Gondogeneia antarctica	benthic	zooplankton
Beagle	algas rojas	Callophyllis pinnata	benthic	basal taxa
Beagle	decápodos	Campylonotus vagans	benthic	benthos
Beagle	anfípodos	Jassa alonsoae	benthic	zooplankton
Beagle	algas rojas	Ceramium diaphanum	benthic	basal taxa
Beagle	peces	Champsocephalus esox 	benthopelagic	fish
Beagle	cirripedios	Chthamalus sp.	benthic	benthos
Beagle	copépodos calanoides	Calanus australis	pelagic	zooplankton
Beagle	copépodos	Copepoda	benthopelagic	zooplankton
Beagle	estrellas	Cosmasterias lurida	benthic	benthos
Beagle	peces	Cottoperca gobio	benthic	fish
Beagle	gastrópodos	Crepipatella dilatata	benthic	benthos
Beagle	ctenóforos	Ctenophora	benthopelagic	zooplankton
Beagle	peces	Dissostichus eleginoides	benthopelagic	fish
Beagle	copépodos calanoides	Drepanopus forcipatus	pelagic	zooplankton
Beagle	peces	Eleginops maclovinus	benthic	fish
Beagle	algas verdes	Enteromorpha sp.	benthic	basal taxa
Beagle	zooplancton	Euphausiacea	pelagic	zooplankton
Beagle	bivalvos	Eurhomalea exalbida	benthic	benthos
Beagle	decápodos	Eurypodius latreillii	benthic	benthos
Beagle	isópodos	Exosphaeroma gigas	benthic	benthos
Beagle	gastrópodos	Fissurella oriens	benthic	benthos
Beagle	gastrópodos	Fissurella picta	benthic	benthos
Beagle	detrito	Fresh detritus	benthopelagic	detritus
Beagle	gastrópodos	Fusitriton magellanicus	benthic	benthos
Beagle	bivalvos	Gaimardia trapesina	benthic	benthos
Beagle	peces	Galaxias maculatus	benthopelagic	fish
Beagle	peces	Genypterus blacodes	benthic	fish
Beagle	estrellas	Glabraster antarctica	benthic	benthos
Beagle	copépodos calanoides	Centropages brachiatus 	pelagic	zooplankton
Beagle	cangrejos	Halicarcinus planatus	benthic	benthos
Beagle	peces	Harpagifer bispinis	benthic	fish
Beagle	bivalvos	Hiatella arctica	benthic	benthos
Beagle	isópodos	Isopoda	benthic	benthos
Beagle	copépodos calanoides	Clausocalanus brevipes 	pelagic	zooplankton
Beagle	gastrópodos	Laevilitorina caliginosa	benthic	benthos
Beagle	decápodos	Lithodes santolla	benthic	benthos
Beagle	erizos	Loxechinus albus	benthic	benthos
Beagle	algas	Macroalgae	benthic	basal taxa
Beagle	algas pardas	Macrocystis pyrifera	benthic	basal taxa
Beagle	peces	Macruronus magellanicus	pelagic	fish
Beagle	copépodos calanoides	Paracalanus parvus	pelagic	zooplankton
Beagle	gastrópodos	Margarella violacea	benthic	benthos
Beagle	briozoos	Membranipora isabelleana	benthic	benthos
Beagle	peces	Merluccius hubbsi	benthopelagic	fish
Beagle	decápodos	Munida gregaria	benthopelagic	benthos
Beagle	bivalvos	Mytilus edulis	benthic	benthos
Beagle	peces	Myxine glutinosa	benthic	fish
Beagle	gastrópodos	Nacella deaurata	benthic	benthos
Beagle	gastrópodos	Nacella magellanica	benthic	benthos
Beagle	gastrópodos	Nacella mytilina	benthic	benthos
Beagle	detrito	Necromass	benthopelagic	detritus
Beagle	nemátodos	Nematoda	benthic	benthos
Beagle	nemertinos	Nemertea	benthic	benthos
Beagle	poliquetos	Maldanidae	benthic	benthos
