"","x"
"Calliostoma nudum",7
"Crustacea",21
"Fissurella picta",13
"Gastropoda",26
"Isopoda",41
"Macroalgae",21
"Macrocystis pyrifera",21
"Margarella violacea",13
"Zooplankton",42
"Aged detritus",19
"Ulva sp.",17
"Fresh detritus",45
"Ostracoda",27
"Acanthocyclus albatrossis",11
"Amphipoda",40
"Anasterias antarctica",39
"Ascidiacea",8
"Aulacomya atra",15
"Bivalvia",19
"Crepipatella dilatata",9
"Eurhomalea exalbida",2
"Eurypodius latreillii",25
"Exosphaeroma gigas",11
"Fissurella oriens",4
"Gaimardia trapesina",8
"Halicarcinus planatus ",26
"Laevilitorina caliginosa",15
"Mytilus edulis chilensis",21
"Nacella deaurata",30
"Nacella magellanica",22
"Nacella mytilina",5
"Necromass",21
"Notochthamalus scabrosus ",7
"Pagurus comptus",27
"Pareuthria fuscata",7
"Perumytilus purpuratus",8
"Plaxiphora sp.",5
"Polychaeta",47
"Polyplacophora",23
"Pseudechinus magellanicus",45
"Siphonaria lessonii",18
"Spirorbinae",8
"Tonicia sp.",6
"Trophon geversianus",16
"Xymenopsis muriciformis ",9
"Bryozoa",14
"Copepoda",42
"Cumacea",10
"Membranipora isabelleana",10
"Phytoplankton",42
"Serpulidae",7
"Diatomea",33
"Adenocystis utricularis",9
"Harpagifer bispinis",15
"Munida gregaria",71
"Patagonotothen cornucola",23
"Nemertea",22
"Cephalopoda",23
"Dissostichus eleginoides",28
"Euphausiacea",25
"Gammaridea",28
"Glyceridae",7
"Myxine glutinosa",13
"Ophiuroidea",24
"Peltarion spinosulum",25
"Terebellidae",8
"Bathyraja brachyurops",25
"Cottoperca gobio",31
"Genypterus blacodes",33
"Macruronus magellanicus",22
"Merluccius hubbsi",22
"Patagonotothen sp.",9
"Priapulida",8
"Sprattus fuegensis",17
"Bathyraja griseocauda",20
"Bathyraja scaphiops",6
"Careproctus pallidus",1
"Patagonotothen longipes",14
"Patagonotothen sima",7
"Patagonotothen tessellata",35
"Arbacia dufresnii",23
"Loxechinus albus",5
"Notobalanus flosculus",4
"Paralomis granulosa",26
"Bathyraja albomaculata",19
"Paranotothenia magellanica",14
"Patagonotothen brevicauda brevicauda",8
"Patagonotothen ramsayi",32
"Salilota australis",25
"Echiura",5
"Holothuroidea",6
"Callophyllis pinnata",7
"Ceramium diaphanum",8
"Cladophora sp.",6
"Delesseriaceae ",3
"Ectocarpus sp.",6
"Nereididae",19
"Nothogenia fastigiata",8
"Polynoidae",21
"Rhizoclonium sp.",6
"Scytothamus fasciculatus",7
"Tanaidacea",7
"Ulva rigida",7
"Hiatella arctica",7
"Hydrozoa",26
"Codium sp.",3
"Porifera",17
"Galaxias maculatus",6
"Desmarestia sp.",3
"Oligochaeta",5
"Polysiphonia sp.",7
"Porphyra sp.",4
"Campylonotus vagans",4
"Hyperiidea",11
"Stromateus brasiliensis",6
"Zygochlamys patagonica",10
"Cirripedia",6
"Halopteris sp.",4
"Ctenophora",5
"Ballia sp.",3
"Bostrychia sp.",4
"Ceramium sp.",5
"Griffithsia sp.",1
"Hincksia sp.",2
"Hymenena sp.",1
"Monostroma sp.",1
"Myriogramme sp.",1
"Sphacelaria sp.",2
"Trailliella sp.",1
"Cirratulidae",6
"Blidingia minima",1
"Derbesia sp.",1
"Ulothrix sp.",1
"Congiopodus peruvianus",4
"Raja (Dipturus) chilensis",21
"Champsocephalus esox",7
"Chthamalus sp.",4
"Asterina fimbriata",14
"Austrolycus depressiceps",17
"Cosmasterias lurida",25
"Eleginops maclovinus",42
"Glabraster antarctica",7
"Lithodes santolla",30
"Odontesthes nigricans",11
"Schroederichthys bivius",23
