"","type","node","name","Network","modulo"
"1","hubcon",107,"Notothenia coriiceps","Potter",1
"2","modspe",8,"Zooplankton","Potter",4
"3","modspe",11,"Porifera","Potter",3
"4","modspe",16,"Gondogeneia antarctica","Potter",1
"5","modspe",17,"Paradexamine sp.","Potter",1
"6","modspe",18,"Prostebbingia gracilis","Potter",1
"7","modspe",19,"Prostebbingia sp.","Potter",1
"8","modspe",20,"Pariphimedia integricauda","Potter",1
"9","modspe",21,"Euphausia superba","Potter",4
"10","modspe",23,"Chaenocephalus aceratus","Potter",4
"11","modspe",31,"Parachaenichthys charcoti","Potter",4
"12","modspe",34,"Neobuccinum eatoni","Potter",3
"13","modspe",35,"Chalinidae","Potter",3
"14","modspe",36,"Dendrilla antarctica","Potter",3
"15","modspe",37,"Rosella antartica","Potter",3
"16","modspe",38,"Rossella sp.","Potter",3
"17","modspe",39,"Stylo_Myca","Potter",3
"18","modspe",40,"Bryozoa","Potter",3
"19","modspe",41,"Epiphytic Diatomea","Potter",3
"20","modspe",42,"Salpidae","Potter",4
"21","modspe",43,"Desmarestia anceps","Potter",1
"22","modspe",44,"Desmarestia antarctica","Potter",1
"23","modspe",45,"Desmarestia menziesii","Potter",1
"24","modspe",48,"Palmaria decipiens","Potter",1
"25","modspe",49,"Oligochaeta","Potter",2
"26","modspe",58,"Adenocystis utricularis","Potter",1
"27","modspe",59,"Gigartina skottsbergii","Potter",1
"28","modspe",60,"Iridaea cordata","Potter",1
"29","modspe",61,"Myriogramme manginii","Potter",1
"30","modspe",62,"Phaeurus antarcticus ","Potter",1
"31","modspe",63,"Plocamium cartilagineum","Potter",1
"32","modspe",66,"Eatoniella sp.","Potter",3
"33","modspe",67,"Laevilacunaria antarctica","Potter",1
"34","modspe",72,"Nemertea","Potter",2
"35","modspe",73,"Curdiea racovitzae","Potter",1
"36","modspe",74,"Georgiella confluens ","Potter",1
"37","modspe",75,"Monostroma hariotii","Potter",1
"38","modspe",78,"Ascoseira mirabilis","Potter",1
"39","modspe",79,"Ulothrix sp.","Potter",1
"40","modspe",80,"Spionidae","Potter",2
"41","modspe",81,"Terebellidae","Potter",2
"42","modspe",82,"Laternula elliptica","Potter",3
"43","modspe",83,"Callophyllis atrosanguinea ","Potter",1
"44","modspe",84,"Cephalopoda","Potter",4
"45","modspe",87,"Hyperiidea","Potter",4
