Predator	Prey
Acanthocyclus albatrossis	Calliostoma nudum
Acanthocyclus albatrossis	Crustacea
Acanthocyclus albatrossis	Fissurella picta
Acanthocyclus albatrossis	Gastropoda
Acanthocyclus albatrossis	Isopoda
Acanthocyclus albatrossis	Isopoda
Acanthocyclus albatrossis	Macroalgae
Acanthocyclus albatrossis	Macrocystis pyrifera
Acanthocyclus albatrossis	Margarella violacea
Acanthocyclus albatrossis	Zooplankton
Amphipoda	Aged detritus
Amphipoda	Aged detritus
Amphipoda	Ulva sp.
Amphipoda	Fresh detritus
Amphipoda	Macrocystis pyrifera
Amphipoda	Ostracoda
Anasterias antarctica	Acanthocyclus albatrossis
Anasterias antarctica	Amphipoda
Anasterias antarctica	Amphipoda
Anasterias antarctica	Anasterias antarctica
Anasterias antarctica	Ascidiacea
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Bivalvia
Anasterias antarctica	Calliostoma nudum
Anasterias antarctica	Crepipatella dilatata
Anasterias antarctica	Crepipatella dilatata
Anasterias antarctica	Eurhomalea exalbida
Anasterias antarctica	Eurypodius latreillii
Anasterias antarctica	Exosphaeroma gigas
Anasterias antarctica	Exosphaeroma gigas
Anasterias antarctica	Fissurella oriens
Anasterias antarctica	Fissurella oriens
Anasterias antarctica	Fissurella picta
Anasterias antarctica	Gaimardia trapesina
Anasterias antarctica	Gaimardia trapesina
Anasterias antarctica	Gaimardia trapesina
Anasterias antarctica	Gastropoda
Anasterias antarctica	Halicarcinus planatus 
Anasterias antarctica	Halicarcinus planatus 
Anasterias antarctica	Halicarcinus planatus 
Anasterias antarctica	Isopoda
Anasterias antarctica	Laevilitorina caliginosa
Anasterias antarctica	Margarella violacea
Anasterias antarctica	Mytilus edulis chilensis
Anasterias antarctica	Mytilus edulis chilensis
Anasterias antarctica	Nacella deaurata
Anasterias antarctica	Nacella deaurata
Anasterias antarctica	Nacella deaurata
Anasterias antarctica	Nacella magellanica
Anasterias antarctica	Nacella magellanica
Anasterias antarctica	Nacella magellanica
Anasterias antarctica	Nacella mytilina
Anasterias antarctica	Nacella mytilina
Anasterias antarctica	Necromass
Anasterias antarctica	Notochthamalus scabrosus 
Anasterias antarctica	Pagurus comptus
Anasterias antarctica	Pagurus comptus
Anasterias antarctica	Pagurus comptus
Anasterias antarctica	Pareuthria fuscata
Anasterias antarctica	Pareuthria fuscata
Anasterias antarctica	Pareuthria fuscata
Anasterias antarctica	Pareuthria fuscata
Anasterias antarctica	Perumytilus purpuratus
Anasterias antarctica	Perumytilus purpuratus
Anasterias antarctica	Perumytilus purpuratus
Anasterias antarctica	Plaxiphora sp.
Anasterias antarctica	Plaxiphora sp.
Anasterias antarctica	Polychaeta
Anasterias antarctica	Polyplacophora
Anasterias antarctica	Polyplacophora
Anasterias antarctica	Pseudechinus magellanicus
Anasterias antarctica	Siphonaria lessonii
Anasterias antarctica	Siphonaria lessonii
Anasterias antarctica	Spirorbinae
Anasterias antarctica	Spirorbinae
Anasterias antarctica	Tonicia sp.
Anasterias antarctica	Tonicia sp.
Anasterias antarctica	Trophon geversianus
Anasterias antarctica	Trophon geversianus
Anasterias antarctica	Trophon geversianus
Anasterias antarctica	Xymenopsis muriciformis 
Arbacia dufresnii	Amphipoda
Arbacia dufresnii	Aulacomya atra
Arbacia dufresnii	Bivalvia
Arbacia dufresnii	Bryozoa
Arbacia dufresnii	Bryozoa
Arbacia dufresnii	Copepoda
Arbacia dufresnii	Cumacea
Arbacia dufresnii	Gaimardia trapesina
Arbacia dufresnii	Gastropoda
Arbacia dufresnii	Isopoda
Arbacia dufresnii	Macroalgae
Arbacia dufresnii	Macroalgae
Arbacia dufresnii	Macrocystis pyrifera
Arbacia dufresnii	Macrocystis pyrifera
Arbacia dufresnii	Margarella violacea
Arbacia dufresnii	Membranipora isabelleana
Arbacia dufresnii	Mytilus edulis chilensis
Arbacia dufresnii	Ostracoda
Arbacia dufresnii	Phytoplankton
Arbacia dufresnii	Polychaeta
Arbacia dufresnii	Serpulidae
Arbacia dufresnii	Spirorbinae
Arbacia dufresnii	Zooplankton
Arbacia dufresnii	Diatomea
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Phytoplankton
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Phytoplankton
Ascidiacea	Zooplankton
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Zooplankton
Ascidiacea	Diatomea
Asterina fimbriata	Amphipoda
Asterina fimbriata	Aulacomya atra
Asterina fimbriata	Crepipatella dilatata
Asterina fimbriata	Fissurella oriens
Asterina fimbriata	Gaimardia trapesina
Asterina fimbriata	Halicarcinus planatus 
Asterina fimbriata	Margarella violacea
Asterina fimbriata	Nacella mytilina
Asterina fimbriata	Pagurus comptus
