Predator	Prey
Aequiyoldia eightsii	Aged detritus
Aequiyoldia eightsii	Aged detritus
Aequiyoldia eightsii	Aged detritus
Aequiyoldia eightsii	Benthic Diatomea
Aequiyoldia eightsii	Fresh detritus
Aequiyoldia eightsii	Fresh detritus
Aequiyoldia eightsii	Fresh detritus
Aequiyoldia eightsii	Fresh detritus
Aequiyoldia eightsii	Phytoplankton
Aequiyoldia eightsii	Phytoplankton
Aequiyoldia eightsii	Polychaeta
Aglaophamus trissophyllus	Aged detritus
Aglaophamus trissophyllus	Benthic Diatomea
Aglaophamus trissophyllus	Copepoda
Aglaophamus trissophyllus	Fresh detritus
Aglaophamus trissophyllus	Polychaeta
Aglaophamus trissophyllus	Polynoidae
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Phytoplankton
Ascidiacea	Zooplankton
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Phytoplankton
Ascidiacea	Zooplankton
Ascidiacea	Fresh detritus
Ascidiacea	Zooplankton
Ascidiacea	Benthic Diatomea
Barrukia cristata	Copepoda
Barrukia cristata	Fresh detritus
Barrukia cristata	Fresh detritus
Barrukia cristata	Gastropoda
Barrukia cristata	Hydrozoa
Barrukia cristata	Polychaeta
Barrukia cristata	Polychaeta
Barrukia cristata	Polychaeta
Barrukia cristata	Porifera
Bovallia gigantea	Benthic Diatomea
Bovallia gigantea	Bovallia gigantea
Bovallia gigantea	Charcotia obesa
Bovallia gigantea	Copepoda
Bovallia gigantea	Copepoda
Bovallia gigantea	Eurymera monticulosa
Bovallia gigantea	Fresh detritus
Bovallia gigantea	Gitanopsis squamosa
Bovallia gigantea	Gondogeneia antarctica
Bovallia gigantea	Gondogeneia antarctica
Bovallia gigantea	Gondogeneia antarctica
Bovallia gigantea	Paradexamine sp.
Bovallia gigantea	Paradexamine sp.
Bovallia gigantea	Prostebbingia gracilis
Bovallia gigantea	Prostebbingia sp.
Bovallia gigantea	Prostebbingia sp.
Bovallia gigantea	Eurymera monticulosa
Bovallia gigantea	Pariphimedia integricauda
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Bryozoa	Phytoplankton
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Bryozoa	Phytoplankton
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Cephalopoda	Copepoda
Cephalopoda	Euphausia superba
Cephalopoda	Phytoplankton
Cephalopoda	Polychaeta
Cephalopoda	Polychaeta
Cephalopoda	Priapulida
Cephalopoda	Zooplankton
Chaenocephalus aceratus	Chaenocephalus aceratus
