Rol	Trophosp	Sp	Mod	Hab	FG	TL	Degree
modspe	Blidingia minima	131	3	benthic	basal taxa	1	1
modspe	Adenocystis utricularis	53	4	benthic	basal taxa	1	9
modspe	Aged detritus	10	2	benthic	non-living	1	19
modspe	Campylonotus vagans	113	1	benthic	benthos	2	4
modspe	Cladophora sp.	94	3	benthic	basal taxa	1	6
modspe	Codium sp.	106	3	benthic	basal taxa	1	3
modspe	Derbesia sp.	132	3	benthic	basal taxa	1	1
modcon	Fresh detritus	12	3	benthopelagic	non-living	1	45
modcon	Macroalgae	6	3	benthic	basal taxa	1	21
modspe	Ballia sp.	120	4	benthic	basal taxa	1	3
modspe	Bostrychia sp.	121	4	benthic	basal taxa	1	4
modspe	Echiura	90	1	benthic	benthos	2	5
modspe	Holothuroidea	91	1	benthic	benthos	2	6
modcon	Porifera	107	1	benthic	benthos	2	17
modcon	Zygochlamys patagonica	116	1	benthic	benthos	2.696689	10
modcon	Phytoplankton	50	3	pelagic	basal taxa	1	42
modspe	Ulothrix sp.	133	3	benthic	basal taxa	1	1
modspe	Callophyllis pinnata	92	4	benthic	basal taxa	1	7
modspe	Bivalvia	19	3	benthic	benthos	2	19
modcon	Bryozoa	46	3	benthic	benthos	2	14
modspe	Ceramium diaphanum	93	4	benthic	basal taxa	1	8
modcon	Polychaeta	38	1	benthic	benthos	2.744745	47
modcon	Gastropoda	4	1	benthic	benthos	2.797619	26
modcon	Ophiuroidea	64	1	benthic	benthos	2.946309	24
modspe	Ceramium sp.	122	4	benthic	basal taxa	1	5
modspe	Delesseriaceae 	95	4	benthic	basal taxa	1	3
modspe	Priapulida	73	1	benthic	benthos	3.533447	8
modspe	Calliostoma nudum	1	3	benthic	benthos	2	7
modspe	Desmarestia sp.	109	2	benthic	basal taxa	1	3
modspe	Chthamalus sp.	137	3	benthic	benthos	2	4
modspe	Eurhomalea exalbida	21	3	benthic	benthos	2	2
modspe	Fissurella oriens	24	3	benthic	benthos	2	4
modspe	Careproctus pallidus	77	1	benthic	fish	2.100314	1
modspe	Congiopodus peruvianus	134	1	benthic	fish	3.049196	4
modspe	Gaimardia trapesina	25	3	benthic	benthos	2	8
modspe	Myxine glutinosa	63	1	benthic	fish	3.476927	13
modspe	Hiatella arctica	104	3	benthic	benthos	2	7
modspe	Patagonotothen brevicauda brevicauda	87	1	benthic	fish	3.50842	8
modspe	Schroederichthys bivius	145	1	benthic	fish	3.620519	23
modcon	Diatomea	52	2	benthopelagic	basal taxa	1	33
modspe	Ectocarpus sp.	96	4	benthic	basal taxa	1	6
modspe	Margarella violacea	8	3	benthic	benthos	2	13
modcon	Necromass	32	2	benthopelagic	non-living	1	21
modcon	Polysiphonia sp.	111	2	benthic	basal taxa	1	7
modspe	Bathyraja albomaculata	85	1	benthic	fish	3.626463	19
modspe	Bathyraja scaphiops	76	1	benthic	fish	3.697907	6
modspe	Griffithsia sp.	123	4	benthic	basal taxa	1	1
modspe	Halopteris sp.	118	4	benthic	basal taxa	1	4
modspe	Bathyraja brachyurops	67	1	benthic	fish	3.724299	25
modspe	Membranipora isabelleana	49	3	benthic	benthos	2	10
modspe	Nacella mytilina	31	3	benthic	benthos	2	5
modspe	Porphyra sp.	112	2	benthic	basal taxa	1	4
modspe	Notobalanus flosculus	83	3	benthic	benthos	2	4
modspe	Pareuthria fuscata	35	3	benthic	benthos	2	7
modspe	Plaxiphora sp.	37	3	benthic	benthos	2	5
modspe	Serpulidae	51	3	benthic	benthos	2	7
modspe	Salilota australis	89	1	benthic	fish	3.743021	25
modcon	Cumacea	48	2	benthic	benthos	2	10
modspe	Bathyraja griseocauda	75	1	benthic	fish	3.751058	20
modspe	Genypterus blacodes	69	1	benthic	fish	3.781754	33
modcon	Exosphaeroma gigas	23	2	benthic	benthos	2	11
modspe	Oligochaeta	110	2	benthic	benthos	2	5
modspe	Hincksia sp.	124	4	benthic	basal taxa	1	2
modspe	Spirorbinae	42	3	benthic	benthos	2	8
modspe	Hymenena sp.	125	4	benthic	basal taxa	1	1
modcon	Tanaidacea	102	2	benthic	benthos	2	7
modcon	Zooplankton	9	3	benthopelagic	zooplankton	2.018868	42
modspe	Macrocystis pyrifera	7	4	benthic	basal taxa	1	21
modspe	Cottoperca gobio	68	1	benthic	fish	3.825942	31
modcon	Laevilitorina caliginosa	27	2	benthic	benthos	2.092624	15
modspe	Monostroma sp.	126	4	benthic	basal taxa	1	1
modspe	Raja (Dipturus) chilensis	135	1	benthic	fish	3.827762	21
modspe	Myriogramme sp.	127	4	benthic	basal taxa	1	1
modcon	Terebellidae	66	2	benthic	benthos	2.113208	8
modspe	Fissurella picta	3	3	benthic	benthos	2.125	13
modspe	Nothogenia fastigiata	98	4	benthic	basal taxa	1	8
modspe	Crepipatella dilatata	20	3	benthic	benthos	2.145553	9
modspe	Rhizoclonium sp.	100	4	benthic	basal taxa	1	6
modcon	Crustacea	2	1	benthopelagic	benthos	2	21
modspe	Mytilus edulis chilensis	28	3	benthic	benthos	2.155298	21
modspe	Ascidiacea	17	3	benthic	benthos	2.156749	8
modspe	Cephalopoda	58	1	benthopelagic	benthos	3.349404	23
modspe	Scytothamus fasciculatus	101	4	benthic	basal taxa	1	7
modspe	Sphacelaria sp.	128	4	benthic	basal taxa	1	2
modspe	Trailliella sp.	129	4	benthic	basal taxa	1	1
modspe	Aulacomya atra	18	3	benthic	benthos	2.203774	15
modspe	Galaxias maculatus	108	1	benthopelagic	fish	2.889016	6
modspe	Ulva rigida	103	4	benthic	basal taxa	1	7
modcon	Ulva sp.	11	4	benthic	basal taxa	1	17
modspe	Cirripedia	117	3	benthic	benthos	2.254717	6
modspe	Gammaridea	61	2	benthic	zooplankton	2.128721	28
modspe	Cirratulidae	130	2	benthic	benthos	2.145553	6
modcon	Ostracoda	13	2	benthopelagic	zooplankton	2.203774	27
modcon	Isopoda	5	4	benthic	benthos	2	41
modspe	Perumytilus purpuratus	36	3	benthic	benthos	2.254717	8
modspe	Notochthamalus scabrosus 	33	3	benthic	benthos	2.339623	7
modcon	Patagonotothen longipes	78	1	benthopelagic	fish	3.171319	14
modspe	Nereididae	97	2	benthic	benthos	2.32215	19
modspe	Stromateus brasiliensis	115	1	benthopelagic	fish	3.214488	6
modspe	Glabraster antarctica	142	2	benthic	benthos	2.40029	7
modcon	Halicarcinus planatus 	26	3	benthic	benthos	2.419773	26
modcon	Pseudechinus magellanicus	40	3	benthic	benthos	2.577331	45
modcon	Hydrozoa	105	2	benthic	benthos	2.65111	26
modspe	Tonicia sp.	43	3	benthic	benthos	2.666667	6
modspe	Patagonotothen sp.	72	1	benthopelagic	fish	3.241596	9
modspe	Glyceridae	62	2	benthic	benthos	2.768563	7
modspe	Patagonotothen sima	79	1	benthopelagic	fish	3.286142	7
modspe	Merluccius hubbsi	71	1	benthopelagic	fish	3.37666	22
modspe	Patagonotothen ramsayi	88	1	benthopelagic	fish	3.420465	32
modspe	Macruronus magellanicus	70	1	benthopelagic	fish	3.689402	22
modspe	Siphonaria lessonii	41	4	benthic	benthos	2	18
modcon	Pagurus comptus	34	3	benthic	benthos	2.845786	27
modspe	Arbacia dufresnii	81	3	benthic	benthos	2.85158	23
modcon	Acanthocyclus albatrossis	14	3	benthic	benthos	2.894149	11
modspe	Paralomis granulosa	84	3	benthic	benthos	3.157994	26
modspe	Dissostichus eleginoides	59	1	benthopelagic	fish	3.765237	28
modspe	Polynoidae	99	2	benthic	benthos	2.848818	21
modspe	Loxechinus albus	82	4	benthic	benthos	2.183457	5
modcon	Nemertea	57	2	benthic	benthos	2.874041	22
modspe	Champsocephalus esox	136	1	benthopelagic	fish	3.910271	7
modcon	Patagonotothen cornucola	56	2	benthic	fish	3.200037	23
modcon	Copepoda	47	1	benthopelagic	zooplankton	2.113208	42
modspe	Peltarion spinosulum	65	3	benthic	benthos	3.162299	25
modcon	Amphipoda	15	1	benthopelagic	zooplankton	2.200629	40
modspe	Polyplacophora	39	4	benthic	benthos	2.190476	23
modspe	Sprattus fuegensis	74	1	pelagic	fish	2.881817	17
modcon	Odontesthes nigricans	144	1	pelagic	fish	3.300617	11
modspe	Nacella deaurata	29	4	benthic	benthos	2.265283	30
modspe	Trophon geversianus	44	3	benthic	benthos	3.187966	16
hubcon	Munida gregaria	55	4	benthopelagic	zooplankton	2.372129	71
modcon	Nacella magellanica	30	4	benthic	benthos	2.433754	22
modspe	Lithodes santolla	143	3	benthic	benthos	3.222677	30
modspe	Ctenophora	119	1	pelagic	zooplankton	2	5
modspe	Euphausiacea	60	1	pelagic	zooplankton	2.494811	25
modcon	Paranotothenia magellanica	86	2	benthopelagic	fish	3.282091	14
modcon	Harpagifer bispinis	54	2	benthic	fish	3.303268	15
modspe	Eurypodius latreillii	22	3	benthic	benthos	3.233705	25
modcon	Eleginops maclovinus	141	4	benthic	fish	3.024888	42
modspe	Anasterias antarctica	16	3	benthic	benthos	3.248198	39
modspe	Asterina fimbriata	138	3	benthic	benthos	3.255772	14
modspe	Xymenopsis muriciformis 	45	4	benthic	benthos	3.206166	9
modcon	Patagonotothen tessellata	80	4	benthopelagic	fish	3.230127	35
modcon	Austrolycus depressiceps	139	4	benthic	fish	3.495087	17
modspe	Cosmasterias lurida	140	3	benthic	benthos	3.314896	25
modspe	Hyperiidea	114	1	pelagic	zooplankton	3.176625	11
