Roln	Rol	Trophosp	Sp	Mod	Hab	FG
5	hubcon	Munida gregaria	55	4	benthopelagic	zooplankton
6	modcon	Polysiphonia sp.	111	2	benthic	basal taxa
6	modcon	Macroalgae	6	3	benthic	basal taxa
6	modcon	Ulva sp.	11	4	benthic	basal taxa
6	modcon	Diatomea	52	2	benthopelagic	basal taxa
6	modcon	Phytoplankton	50	3	pelagic	basal taxa
6	modcon	Gastropoda	4	1	benthic	benthos
6	modcon	Ophiuroidea	64	1	benthic	benthos
6	modcon	Polychaeta	38	1	benthic	benthos
6	modcon	Porifera	107	1	benthic	benthos
6	modcon	Zygochlamys patagonica	116	1	benthic	benthos
6	modcon	Cumacea	48	2	benthic	benthos
6	modcon	Exosphaeroma gigas	23	2	benthic	benthos
6	modcon	Hydrozoa	105	2	benthic	benthos
6	modcon	Laevilitorina caliginosa	27	2	benthic	benthos
6	modcon	Nemertea	57	2	benthic	benthos
6	modcon	Tanaidacea	102	2	benthic	benthos
6	modcon	Terebellidae	66	2	benthic	benthos
6	modcon	Acanthocyclus albatrossis	14	3	benthic	benthos
6	modcon	Bryozoa	46	3	benthic	benthos
6	modcon	Halicarcinus planatus 	26	3	benthic	benthos
6	modcon	Pagurus comptus	34	3	benthic	benthos
6	modcon	Pseudechinus magellanicus	40	3	benthic	benthos
6	modcon	Isopoda	5	4	benthic	benthos
6	modcon	Nacella magellanica	30	4	benthic	benthos
6	modcon	Crustacea	2	1	benthopelagic	benthos
6	modcon	Harpagifer bispinis	54	2	benthic	fish
6	modcon	Patagonotothen cornucola	56	2	benthic	fish
6	modcon	Austrolycus depressiceps	139	4	benthic	fish
6	modcon	Eleginops maclovinus	141	4	benthic	fish
6	modcon	Patagonotothen longipes	78	1	benthopelagic	fish
6	modcon	Paranotothenia magellanica	86	2	benthopelagic	fish
6	modcon	Patagonotothen tessellata	80	4	benthopelagic	fish
6	modcon	Odontesthes nigricans	144	1	pelagic	fish
6	modcon	Necromass	32	2	benthopelagic	non-living
6	modcon	Fresh detritus	12	3	benthopelagic	non-living
6	modcon	Amphipoda	15	1	benthopelagic	zooplankton
6	modcon	Copepoda	47	1	benthopelagic	zooplankton
6	modcon	Ostracoda	13	2	benthopelagic	zooplankton
6	modcon	Zooplankton	9	3	benthopelagic	zooplankton
7	modspe	Desmarestia sp.	109	2	benthic	basal taxa
7	modspe	Porphyra sp.	112	2	benthic	basal taxa
7	modspe	Blidingia minima	131	3	benthic	basal taxa
7	modspe	Cladophora sp.	94	3	benthic	basal taxa
7	modspe	Codium sp.	106	3	benthic	basal taxa
7	modspe	Derbesia sp.	132	3	benthic	basal taxa
7	modspe	Ulothrix sp.	133	3	benthic	basal taxa
7	modspe	Adenocystis utricularis	53	4	benthic	basal taxa
7	modspe	Ballia sp.	120	4	benthic	basal taxa
7	modspe	Bostrychia sp.	121	4	benthic	basal taxa
7	modspe	Callophyllis pinnata	92	4	benthic	basal taxa
7	modspe	Ceramium diaphanum	93	4	benthic	basal taxa
7	modspe	Ceramium sp.	122	4	benthic	basal taxa
7	modspe	Delesseriaceae 	95	4	benthic	basal taxa
7	modspe	Ectocarpus sp.	96	4	benthic	basal taxa
7	modspe	Griffithsia sp.	123	4	benthic	basal taxa
7	modspe	Halopteris sp.	118	4	benthic	basal taxa
7	modspe	Hincksia sp.	124	4	benthic	basal taxa
7	modspe	Hymenena sp.	125	4	benthic	basal taxa
7	modspe	Macrocystis pyrifera	7	4	benthic	basal taxa
7	modspe	Monostroma sp.	126	4	benthic	basal taxa
7	modspe	Myriogramme sp.	127	4	benthic	basal taxa
7	modspe	Nothogenia fastigiata	98	4	benthic	basal taxa
7	modspe	Rhizoclonium sp.	100	4	benthic	basal taxa
7	modspe	Scytothamus fasciculatus	101	4	benthic	basal taxa
7	modspe	Sphacelaria sp.	128	4	benthic	basal taxa
7	modspe	Trailliella sp.	129	4	benthic	basal taxa
7	modspe	Ulva rigida	103	4	benthic	basal taxa
7	modspe	Campylonotus vagans	113	1	benthic	benthos
7	modspe	Echiura	90	1	benthic	benthos
7	modspe	Holothuroidea	91	1	benthic	benthos
7	modspe	Priapulida	73	1	benthic	benthos
7	modspe	Cirratulidae	130	2	benthic	benthos
7	modspe	Glabraster antarctica	142	2	benthic	benthos
7	modspe	Glyceridae	62	2	benthic	benthos
7	modspe	Nereididae	97	2	benthic	benthos
7	modspe	Oligochaeta	110	2	benthic	benthos
7	modspe	Polynoidae	99	2	benthic	benthos
7	modspe	Anasterias antarctica	16	3	benthic	benthos
7	modspe	Arbacia dufresnii	81	3	benthic	benthos
7	modspe	Ascidiacea	17	3	benthic	benthos
7	modspe	Asterina fimbriata	138	3	benthic	benthos
7	modspe	Aulacomya atra	18	3	benthic	benthos
7	modspe	Bivalvia	19	3	benthic	benthos
7	modspe	Calliostoma nudum	1	3	benthic	benthos
7	modspe	Chthamalus sp.	137	3	benthic	benthos
7	modspe	Cirripedia	117	3	benthic	benthos
7	modspe	Cosmasterias lurida	140	3	benthic	benthos
7	modspe	Crepipatella dilatata	20	3	benthic	benthos
7	modspe	Eurhomalea exalbida	21	3	benthic	benthos
7	modspe	Eurypodius latreillii	22	3	benthic	benthos
7	modspe	Fissurella oriens	24	3	benthic	benthos
7	modspe	Fissurella picta	3	3	benthic	benthos
7	modspe	Gaimardia trapesina	25	3	benthic	benthos
7	modspe	Hiatella arctica	104	3	benthic	benthos
7	modspe	Lithodes santolla	143	3	benthic	benthos
7	modspe	Margarella violacea	8	3	benthic	benthos
7	modspe	Membranipora isabelleana	49	3	benthic	benthos
7	modspe	Mytilus edulis chilensis	28	3	benthic	benthos
7	modspe	Nacella mytilina	31	3	benthic	benthos
7	modspe	Notobalanus flosculus	83	3	benthic	benthos
7	modspe	Notochthamalus scabrosus 	33	3	benthic	benthos
7	modspe	Paralomis granulosa	84	3	benthic	benthos
7	modspe	Pareuthria fuscata	35	3	benthic	benthos
7	modspe	Peltarion spinosulum	65	3	benthic	benthos
7	modspe	Perumytilus purpuratus	36	3	benthic	benthos
7	modspe	Plaxiphora sp.	37	3	benthic	benthos
7	modspe	Serpulidae	51	3	benthic	benthos
7	modspe	Spirorbinae	42	3	benthic	benthos
7	modspe	Tonicia sp.	43	3	benthic	benthos
7	modspe	Trophon geversianus	44	3	benthic	benthos
7	modspe	Loxechinus albus	82	4	benthic	benthos
7	modspe	Nacella deaurata	29	4	benthic	benthos
7	modspe	Polyplacophora	39	4	benthic	benthos
7	modspe	Siphonaria lessonii	41	4	benthic	benthos
7	modspe	Xymenopsis muriciformis 	45	4	benthic	benthos
7	modspe	Cephalopoda	58	1	benthopelagic	benthos
7	modspe	Bathyraja albomaculata	85	1	benthic	fish
7	modspe	Bathyraja brachyurops	67	1	benthic	fish
7	modspe	Bathyraja griseocauda	75	1	benthic	fish
7	modspe	Bathyraja scaphiops	76	1	benthic	fish
7	modspe	Careproctus pallidus	77	1	benthic	fish
7	modspe	Congiopodus peruvianus	134	1	benthic	fish
7	modspe	Cottoperca gobio	68	1	benthic	fish
7	modspe	Genypterus blacodes	69	1	benthic	fish
7	modspe	Myxine glutinosa	63	1	benthic	fish
7	modspe	Patagonotothen brevicauda brevicauda	87	1	benthic	fish
7	modspe	Raja (Dipturus) chilensis	135	1	benthic	fish
7	modspe	Salilota australis	89	1	benthic	fish
7	modspe	Schroederichthys bivius	145	1	benthic	fish
7	modspe	Champsocephalus esox	136	1	benthopelagic	fish
7	modspe	Dissostichus eleginoides	59	1	benthopelagic	fish
7	modspe	Galaxias maculatus	108	1	benthopelagic	fish
7	modspe	Macruronus magellanicus	70	1	benthopelagic	fish
7	modspe	Merluccius hubbsi	71	1	benthopelagic	fish
7	modspe	Patagonotothen ramsayi	88	1	benthopelagic	fish
7	modspe	Patagonotothen sima	79	1	benthopelagic	fish
7	modspe	Patagonotothen sp.	72	1	benthopelagic	fish
7	modspe	Stromateus brasiliensis	115	1	benthopelagic	fish
7	modspe	Sprattus fuegensis	74	1	pelagic	fish
7	modspe	Aged detritus	10	2	benthic	non-living
7	modspe	Gammaridea	61	2	benthic	zooplankton
7	modspe	Ctenophora	119	1	pelagic	zooplankton
7	modspe	Euphausiacea	60	1	pelagic	zooplankton
7	modspe	Hyperiidea	114	1	pelagic	zooplankton
