"","type","node","name","Network","modulo"
"name...1","hubcon",107,"Notothenia coriiceps","Potter",1
"name1...2","modspe",8,"Zooplankton","Potter",4
"name2...3","modspe",11,"Porifera","Potter",3
"name3...4","modspe",16,"Gondogeneia antarctica","Potter",1
"name4...5","modspe",17,"Paradexamine sp.","Potter",1
"name5...6","modspe",18,"Prostebbingia gracilis","Potter",1
"name6...7","modspe",19,"Prostebbingia sp.","Potter",1
"name7...8","modspe",20,"Pariphimedia integricauda","Potter",1
"name8...9","modspe",21,"Euphausia superba","Potter",4
"name9...10","modspe",23,"Chaenocephalus aceratus","Potter",4
"name10...11","modspe",31,"Parachaenichthys charcoti","Potter",4
"name11...12","modspe",34,"Neobuccinum eatoni","Potter",3
"name12...13","modspe",35,"Chalinidae","Potter",3
"name13...14","modspe",36,"Dendrilla antarctica","Potter",3
"name14...15","modspe",37,"Rosella antartica","Potter",3
"name15...16","modspe",38,"Rossella sp.","Potter",3
"name16...17","modspe",39,"Stylo_Myca","Potter",3
"name17...18","modspe",40,"Bryozoa","Potter",3
"name18...19","modspe",41,"Epiphytic Diatomea","Potter",3
"name19...20","modspe",42,"Salpidae","Potter",4
"name20...21","modspe",43,"Desmarestia anceps","Potter",1
"name21...22","modspe",44,"Desmarestia antarctica","Potter",1
"name22...23","modspe",45,"Desmarestia menziesii","Potter",1
"name23...24","modspe",48,"Palmaria decipiens","Potter",1
"name24...25","modspe",49,"Oligochaeta","Potter",2
"name25...26","modspe",58,"Adenocystis utricularis","Potter",1
"name26...27","modspe",59,"Gigartina skottsbergii","Potter",1
"name27...28","modspe",60,"Iridaea cordata","Potter",1
"name28...29","modspe",61,"Myriogramme manginii","Potter",1
"name29...30","modspe",62,"Phaeurus antarcticus ","Potter",1
"name30...31","modspe",63,"Plocamium cartilagineum","Potter",1
"name31...32","modspe",66,"Eatoniella sp.","Potter",3
"name32...33","modspe",67,"Laevilacunaria antarctica","Potter",1
"name33...34","modspe",72,"Nemertea","Potter",2
"name34...35","modspe",73,"Curdiea racovitzae","Potter",1
"name35...36","modspe",74,"Georgiella confluens ","Potter",1
"name36...37","modspe",75,"Monostroma hariotii","Potter",1
"name37...38","modspe",78,"Ascoseira mirabilis","Potter",1
"name38...39","modspe",79,"Ulothrix sp.","Potter",1
"name39...40","modspe",80,"Spionidae","Potter",2
"name40...41","modspe",81,"Terebellidae","Potter",2
"name41...42","modspe",82,"Laternula elliptica","Potter",3
"name42...43","modspe",83,"Callophyllis atrosanguinea ","Potter",1
"name43...44","modspe",84,"Cephalopoda","Potter",4
"name44...45","modspe",87,"Hyperiidea","Potter",4
"name45...46","modspe",88,"Lambia antarctica ","Potter",1
"name46...47","modspe",89,"Neuroglossum delesseriae","Potter",1
"name47...48","modspe",90,"Pantoneura plocamioides ","Potter",1
"name48...49","modspe",91,"Picconiella plumosa ","Potter",1
"name49...50","modspe",92,"Porphyra plocamiestris ","Potter",1
"name50...51","modspe",93,"Trematocarpus antarcticus","Potter",1
"name51...52","modspe",94,"Urospora penicilliformis","Potter",1
"name52...53","modspe",96,"Doris kerguelenensis","Potter",3
"name53...54","modspe",98,"Geminocarpus geminatus","Potter",1
"name54...55","modspe",101,"Diplasterias brucei","Potter",3
"name55...56","modspe",102,"Odontaster meridionalis","Potter",3
"name56...57","modspe",103,"Odontaster validus","Potter",3
"name57...58","modspe",104,"Perknaster fuscus antarticus","Potter",3
"name58...59","modspe",106,"Malacobelemnon daytoni","Potter",4
"name59...60","modspe",108,"Parborlasia corrugatus","Potter",3
"name60...61","modspe",109,"Perknaster aurorae","Potter",3
"name61...62","modspe",110,"Urticinopsis antarctica","Potter",3
"name110...63","modcon",1,"Aged detritus","Potter",2
"name210...64","modcon",2,"Benthic Diatomea","Potter",3
"name310...65","modcon",3,"Fresh detritus","Potter",3
"name410...66","modcon",4,"Phytoplankton","Potter",4
"name510...67","modcon",5,"Polychaeta","Potter",4
"name62...68","modcon",6,"Copepoda","Potter",4
"name71...69","modcon",7,"Polynoidae","Potter",2
"name81...70","modcon",9,"Gastropoda","Potter",3
"name91...71","modcon",10,"Hydrozoa","Potter",2
"name101...72","modcon",12,"Bovallia gigantea","Potter",1
"name111...73","modcon",13,"Charcotia obesa","Potter",3
"name121...74","modcon",14,"Eurymera monticulosa","Potter",1
"name131...75","modcon",15,"Gitanopsis squamosa","Potter",1
"name141...76","modcon",22,"Priapulida","Potter",2
"name151...77","modcon",24,"Gobionotothen gibberifrons","Potter",4
"name161...78","modcon",25,"Harpagifer antarcticus","Potter",1
"name171...79","modcon",26,"Lindbergichthys nudifrons","Potter",4
"name181...80","modcon",27,"Mysida","Potter",4
"name191...81","modcon",28,"Notothenia rossii","Potter",1
"name201...82","modcon",29,"Octopoda","Potter",4
"name211...83","modcon",30,"Ophionotus victoriae","Potter",3
"name221...84","modcon",32,"Necromass","Potter",3
"name231...85","modcon",33,"Aequiyoldia eightsii","Potter",3
"name241...86","modcon",46,"Gammaridea","Potter",2
"name251...87","modcon",47,"Ostracoda","Potter",4
"name261...88","modcon",50,"Polyplacophora","Potter",3
"name271...89","modcon",51,"Tanaidacea","Potter",3
"name281...90","modcon",52,"Glyptonotus antarcticus","Potter",4
"name291...91","modcon",53,"Nereididae","Potter",2
"name301...92","modcon",54,"Cumacea","Potter",2
"name311...93","modcon",55,"Oradarea bidentata","Potter",1
"name321...94","modcon",56,"Probolisca ovata","Potter",1
"name331...95","modcon",57,"Serolis sp.","Potter",4
"name341...96","modcon",64,"Cheirimedon femoratus","Potter",1
"name351...97","modcon",65,"Djerboa furcipes","Potter",1
"name361...98","modcon",68,"Margarella antarctica","Potter",1
"name371...99","modcon",69,"Nacella concinna","Potter",1
"name381...100","modcon",70,"Orchomenella sp.","Potter",3
"name391...101","modcon",71,"Paradexamine fissicauda","Potter",1
"name401","modcon",76,"Ascidiacea","Potter",4
"name411","modcon",77,"Pseudorchomene plebs","Potter",2
"name421","modcon",85,"Hemiarthrum setulosum","Potter",3
"name431","modcon",86,"Hippomedon kergueleni","Potter",2
"name441","modcon",95,"Sterechinus neumayeri","Potter",3
"name451","modcon",97,"Aglaophamus trissophyllus","Potter",2
"name461","modcon",99,"Barrukia cristata","Potter",2
"name471","modcon",100,"Trematomus newnesi","Potter",1
"name481","modcon",105,"Trematomus bernacchii","Potter",2
"name...111","hubcon",55,"Munida gregaria","Beagle",4
"name1...112","modspe",1,"Calliostoma nudum","Beagle",3
"name2...113","modspe",3,"Fissurella picta","Beagle",3
"name3...114","modspe",7,"Macrocystis pyrifera","Beagle",4
"name4...115","modspe",8,"Margarella violacea","Beagle",3
"name5...116","modspe",10,"Aged detritus","Beagle",2
"name6...117","modspe",16,"Anasterias antarctica","Beagle",3
"name7...118","modspe",17,"Ascidiacea","Beagle",3
"name8...119","modspe",18,"Aulacomya atra","Beagle",3
"name9...120","modspe",19,"Bivalvia","Beagle",3
"name10...121","modspe",20,"Crepipatella dilatata","Beagle",3
"name11...122","modspe",21,"Eurhomalea exalbida","Beagle",3
"name12...123","modspe",22,"Eurypodius latreillii","Beagle",3
"name13...124","modspe",24,"Fissurella oriens","Beagle",3
"name14...125","modspe",25,"Gaimardia trapesina","Beagle",3
